Neighbor strategy,Num neighbors,Best Y,Num. iterations,Step,Time
create_multi_change_neighbors,4,84692.4862766811,100000,20,0.21693706512451172
create_multi_change_neighbors,8,84827.75900395389,100000,20,0.40207505226135254
create_multi_change_neighbors,16,85067.75900395383,100000,20,1.1365771293640137
create_multi_change_neighbors,32,85947.4898847668,100000,20,4.507210969924927
create_multi_change_neighbors,64,85948.5807938577,100000,20,6.967348098754883
create_multi_change_neighbors,2,80536.30157763559,100000,40,0.048388004302978516
create_multi_change_neighbors,4,83893.64695269329,100000,40,0.10413312911987305
create_multi_change_neighbors,8,84868.58079385772,100000,40,0.2019822597503662
create_multi_change_neighbors,16,84971.12624840316,100000,40,0.4674258232116699
create_multi_change_neighbors,32,84787.85352113043,100000,40,0.7912538051605225
create_multi_change_neighbors,64,85294.03533931225,100000,40,2.253384828567505
create_multi_change_neighbors,2,82146.27688888548,100000,60,0.027646780014038086
create_multi_change_neighbors,4,82627.36779797639,100000,60,0.07625603675842285
create_multi_change_neighbors,8,84719.12624840316,100000,60,0.17361974716186523
create_multi_change_neighbors,16,84689.6717029486,100000,60,0.2849161624908447
create_multi_change_neighbors,32,84810.76261203951,100000,60,0.7867820262908936
create_multi_change_neighbors,64,84843.48988476681,100000,60,1.1360509395599365
create_multi_change_neighbors,2,81875.73143434004,100000,80,0.021420001983642578
create_multi_change_neighbors,4,84501.34915569858,100000,80,0.0770711898803711
create_multi_change_neighbors,8,85055.53097388044,100000,80,0.20358824729919434
create_multi_change_neighbors,16,85011.89461024404,100000,80,0.28792524337768555
create_multi_change_neighbors,32,84728.25824660767,100000,80,0.57106614112854
create_multi_change_neighbors,64,85295.5309738804,100000,80,2.0266900062561035
create_multi_change_neighbors,2,83804.25824660771,100000,100,0.027862071990966797
create_multi_change_neighbors,4,84164.2582466077,100000,100,0.07680273056030273
create_multi_change_neighbors,8,84458.80370115316,100000,100,0.09113812446594238
create_multi_change_neighbors,16,85091.53097388042,100000,100,0.230180025100708
create_multi_change_neighbors,32,85604.2582466077,100000,100,0.9049549102783203
create_multi_change_neighbors,64,85789.71279206226,100000,100,1.614811897277832
